,name,email,country,signup_source,referral,signup_purpose,subscription_level,payment_method,sso_id,email_verified,enabled,registered_at
0,Jessica Clarke,chris82@example.org,Chad,facebook,http://www.rice.biz/mainsearch.html,other,premium,paypal,5c11353b-ca94-4d35-8b59-b507618b953c,True,True,2024-03-24T19:49:35
1,Larry Morgan,janetpratt@example.org,Czech Republic,other,http://murphy.com/explore/list/taglogin.html,other,enterprise,credit_card,d6e9cef2-aa93-420d-b186-6b314d962447,True,False,2024-03-24T21:18:08
2,Francisco Kim,christina83@example.org,Jersey,twitter,http://www.hernandez.com/search/mainmain.htm,personal,trial,other,7e19853d-9fb0-454e-9df4-09069c91623e,True,False,2024-03-24T22:09:10
3,Julie Price,huynhjoseph@example.com,Taiwan,twitter,http://www.bowers-garcia.biz/wp-content/category/explorecategory.html,personal,free,check,f446324c-de94-4dd6-9734-eb2848328a5b,False,True,2024-03-24T22:49:28
4,Travis Grant,wmorrison@example.org,Turks and Caicos Islands,twitter,https://pugh-munoz.com/listsearch.html,personal,free,other,516c265a-8c2d-4f31-859d-51781c129642,True,False,2024-03-24T23:24:46
5,Michael Garner,mcdanieljessica@example.org,Kiribati,twitter,http://www.jennings.com/blog/tag/searchhomepage.htm,business,trial,other,b1eba2ce-d7a9-48a0-8765-90ec1000389e,False,True,2024-03-24T23:41:30
6,Katherine Walker,tpatton@example.org,Greenland,facebook,http://deleon.net/main/list/wp-contenthomepage.htm,education,free,check,1affb246-e227-4216-9f13-7856568ed6cf,True,True,2024-03-25T00:22:57
7,Tiffany Stewart,jeffreyhernandez@example.net,Mayotte,other,http://www.garcia.biz/searchterms.html,other,trial,credit_card,e0f124e3-afe8-4a6f-97d4-3223a6b0a2ff,True,False,2024-03-25T00:31:26
8,Erika Howard,bmayo@example.org,Palau,facebook,https://www.boyd.com/category/search/searchsearch.asp,business,enterprise,paypal,a69220ed-4168-4d4a-ae68-2bea61560c7b,True,True,2024-03-25T00:31:43
9,Brent Jackson,amy22@example.net,Vietnam,facebook,https://www.freeman-jones.info/categories/mainhomepage.htm,education,free,paypal,075bac35-14e7-4bdc-a98f-4cbcba16f838,False,False,2024-03-25T01:30:17
10,Christine Rhodes,jpeterson@example.org,Bosnia and Herzegovina,twitter,http://www.robinson-wilson.com/mainregister.jsp,other,trial,check,45d75503-37ae-4821-8c62-05fbbfb76d93,True,False,2024-03-25T01:34:49
11,Victoria Young,michellebrown@example.org,Nigeria,facebook,http://walker.org/categories/appregister.html,business,free,credit_card,ff49d013-cef8-46b0-b6e1-4c9edde73d59,False,False,2024-03-25T01:35:49
12,Nicolas Ross,chapmanmelissa@example.net,Swaziland,facebook,https://davis.info/tagsearch.asp,other,free,paypal,dc0bbed2-836d-45c6-88b0-960a88190d2f,True,False,2024-03-25T01:41:07
13,Douglas Gonzales,fhernandez@example.org,Papua New Guinea,other,http://young.net/wp-content/poststerms.html,education,enterprise,check,76e4332c-38ab-4ea3-8afd-c3c8f4f907bf,False,False,2024-03-25T01:52:18
14,Richard Cunningham,ericcannon@example.com,British Virgin Islands,facebook,http://www.murphy.biz/app/search/tagsauthor.htm,other,trial,other,88047592-62ea-480e-9d50-2363adf08b05,False,True,2024-03-25T02:46:07
